Company Name,Year,Equity Share Capital,Reserves And Surplus,Total Shareholders Funds,Total Non-Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Total Revenue,Total Expenses,Profit/Loss Before Tax,Current Tax,Profit/Loss For The Period,Basic Eps (Rs.),Equity Share Dividend,Pbdit Margin (%),Net Profit Margin (%),Return On Networth/Equity (%),Return On Capital Employed (%),Total Debt/Equity (X),Current Ratio (X),Dividend Payout Ratio (Np) (%),Earnings Retention Ratio (%),Score,Comment
Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.,Dec 19,96.42,1835.84,1932.26,2978.43,2147.51,7058.2,12615.78,9943.79,2671.99,705.44,1966.55,204.28,0.0,25.12,15.89,101.77,56.85,0.03,1.78,0.0,0.0,950,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 0
 Debt to NetProfit : 1.5145457781393812 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 950"
Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.,Dec 18,96.42,3577.32,3673.74,2559.39,1854.95,8088.08,11551.19,9122.24,2428.95,884.87,1606.93,166.67,1089.5,25.47,14.23,43.74,40.76,0.01,2.55,67.8,32.2,950,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 0
 Debt to NetProfit : 1.592720280286011 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 950"
Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.,Dec 17,96.42,3324.17,3420.59,2449.29,1492.71,7362.59,10186.52,8347.22,1839.3,649.17,1225.19,127.07,829.18,22.71,12.24,35.81,32.9,0.01,2.64,67.67,32.33,950,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 0
 Debt to NetProfit : 1.9991103420693932 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 950"
Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.,Dec 16,96.42,2917.28,3013.7,2159.57,1632.7,6805.97,9373.19,7869.51,1441.54,533.71,926.54,96.1,607.42,20.17,10.04,30.74,29.13,0.01,2.01,65.55,34.45,900,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 50
 Current Ratio score: 0
 Debt to NetProfit : 2.3307898201912494 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 900"
Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.,Dec 15,96.42,2721.42,2817.84,1786.89,1475.73,6080.46,8285.4,6970.93,813.63,289.89,563.27,58.0,467.62,20.36,6.88,19.98,28.61,0.01,1.68,83.01,16.99,750,"ROE Score : 100
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 0
 Current Ratio score: 0
 Debt to NetProfit : 3.1723507376568967 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 750"
Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.,Dec 19,96.42,1835.84,1932.26,2978.43,2147.51,7058.2,12615.78,9943.79,2671.99,705.44,1966.55,204.28,0.0,25.12,15.89,101.77,56.85,0.03,1.78,0.0,0.0,950,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 0
 Debt to NetProfit : 1.5145457781393812 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 950"
Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.,Dec 18,96.42,3577.32,3673.74,2559.39,1854.95,8088.08,11551.19,9122.24,2428.95,884.87,1606.93,166.67,1089.5,25.47,14.23,43.74,40.76,0.01,2.55,67.8,32.2,950,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 0
 Debt to NetProfit : 1.592720280286011 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 950"
Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.,Dec 17,96.42,3324.17,3420.59,2449.29,1492.71,7362.59,10186.52,8347.22,1839.3,649.17,1225.19,127.07,829.18,22.71,12.24,35.81,32.9,0.01,2.64,67.67,32.33,950,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 0
 Debt to NetProfit : 1.9991103420693932 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 950"
Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.,Dec 16,96.42,2917.28,3013.7,2159.57,1632.7,6805.97,9373.19,7869.51,1441.54,533.71,926.54,96.1,607.42,20.17,10.04,30.74,29.13,0.01,2.01,65.55,34.45,900,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 50
 Current Ratio score: 0
 Debt to NetProfit : 2.3307898201912494 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 900"
Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.Nestle India Ltd.,Dec 15,96.42,2721.42,2817.84,1786.89,1475.73,6080.46,8285.4,6970.93,813.63,289.89,563.27,58.0,467.62,20.36,6.88,19.98,28.61,0.01,1.68,83.01,16.99,750,"ROE Score : 100
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 0
 Current Ratio score: 0
 Debt to NetProfit : 3.1723507376568967 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 750"
